pixel_area,pixel_height,real_height_cm,actual_weight_kg
68318.5,496,182.88,140.61352
111734.0,415,182.88,145.14944
173845.5,553,182.88,149.68536
148047.0,583,182.88,154.22128
187536.5,583,182.88,158.7572
148442.5,593,182.88,172.36496
115150.5,598,185.42,58.96696
166053.0,600,185.42,63.50288
123686.5,477,185.42,68.0388
91961.0,436,185.42,72.57472
73008.0,390,185.42,77.11064
50291.5,282,185.42,81.64656
123311.5,594,185.42,86.18248
104870.5,577,185.42,90.7184
125903.5,600,185.42,95.25432
133236.5,600,185.42,99.79024
142523.5,563,185.42,104.32616
126098.0,567,185.42,108.86208
191722.0,565,185.42,113.398
110683.0,583,185.42,117.93392
53538.5,473,185.42,122.46984
99443.0,600,185.42,127.00576
70114.0,271,185.42,131.54168
110865.0,593,185.42,136.0776
154331.0,460,185.42,140.61352
46693.5,220,185.42,145.14944
121120.0,597,185.42,172.36496
84670.0,401,210.82,222.26008
73189.0,600,187.96,58.96696
170999.0,600,187.96,63.50288
105251.5,564,187.96,68.0388
109503.5,600,187.96,72.57472
47486.5,295,187.96,77.11064
89112.0,398,187.96,81.64656
56830.5,446,187.96,86.18248
160013.0,600,187.96,90.7184
32799.0,600,187.96,95.25432
97879.0,600,187.96,99.79024
165969.0,600,187.96,104.32616
166497.5,600,187.96,108.86208
114698.5,568,187.96,113.398
159456.0,600,187.96,122.46984
69659.5,497,187.96,131.54168
114800.5,590,187.96,217.72416
56518.5,496,190.5,63.50288
83206.0,563,190.5,68.0388
165355.5,541,190.5,72.57472
135873.0,600,190.5,77.11064
190330.0,599,190.5,81.64656
215311.0,600,190.5,86.18248
82228.0,556,190.5,90.7184
36550.0,383,190.5,95.25432
86554.5,600,190.5,99.79024
161272.5,600,190.5,104.32616
111300.5,596,190.5,108.86208
68583.5,451,190.5,113.398
151144.0,600,190.5,117.93392
227935.5,600,190.5,140.61352
120391.5,600,190.5,145.14944
156630.0,600,190.5,158.7572
189607.0,600,193.04,54.43104
140906.0,600,193.04,63.50288
50191.0,573,193.04,72.57472
170398.0,582,193.04,77.11064
115269.5,568,193.04,81.64656
126615.5,573,193.04,86.18248
104223.5,562,193.04,90.7184
127714.0,600,193.04,95.25432
174526.5,576,193.04,99.79024
224987.0,600,193.04,104.32616
131468.5,560,193.04,108.86208
151361.5,595,193.04,113.398
72248.5,600,193.04,117.93392
124884.0,592,193.04,122.46984
36737.0,408,193.04,127.00576
176488.5,600,193.04,131.54168
141460.5,600,193.04,145.14944
156386.0,600,193.04,235.86784
78648.5,566,195.58,63.50288
165375.5,600,195.58,68.0388
104599.5,600,195.58,77.11064
141917.5,600,195.58,81.64656
77820.5,582,195.58,90.7184
50565.0,167,195.58,95.25432
166240.0,600,195.58,99.79024
161250.0,418,195.58,104.32616
157651.5,571,195.58,108.86208
168126.0,587,195.58,113.398
200469.0,600,195.58,117.93392
82775.5,554,195.58,122.46984
136178.5,461,195.58,127.00576
183165.5,600,195.58,136.0776
78567.5,480,198.12,81.64656
126423.5,600,198.12,95.25432
135988.0,600,198.12,99.79024
156602.0,600,198.12,104.32616
131122.5,600,198.12,108.86208
166587.0,563,198.12,113.398
62399.0,449,198.12,117.93392
157747.5,596,198.12,131.54168
127082.0,582,198.12,145.14944
200114.5,600,198.12,149.68536
79963.0,427,198.12,167.82904
30004.0,369,198.12,172.36496
101835.0,578,200.66,77.11064
100112.5,585,200.66,95.25432
96256.0,600,200.66,136.0776
170489.0,600,203.2,81.64656
70325.0,349,203.2,108.86208
167912.5,593,203.2,117.93392
